dish_id,actual_ingredients,predicted_ingredients,actual_cal,pred_cal,cal_error,actual_fat,pred_fat,fat_error,actual_carb,pred_carb,carb_error,actual_prot,pred_prot,prot_error
dish_1560368019,pizza; salt; green onions; onions; olive oil; country rice; eggplant; spinach (raw); fish; asparagus; garlic,salt; olive oil; garlic; vinegar; onions,437,617,180,21.7,32.6,10.9,50,38.4,11.6,26.1,47.5,21.4
dish_1562703382,pizza; berries,,204,191,13,5.9,8.4,2.5,31.3,22.1,9.3,7,9.6,2.6
dish_1563909507,mustard; garlic; tomatoes; salt; cucumbers; olive oil; mustard greens; spinach (raw); vinegar; green beans,salt; olive oil; vinegar; garlic; mustard,118,113,5,9.2,5.5,3.6,8.2,11.1,2.9,2.9,5.9,3
dish_1566587143,bell peppers; chicken; tomatoes; onions; salt; olive oil; avocado; jalapenos; spinach (raw); pepper; garlic; millet,olive oil; salt; garlic; pepper; lemon juice,354,331,23,20.7,17.7,3,16,21.3,5.3,28.9,24.4,4.5
dish_1565811000,chicken; spinach (raw),olives,343,584,241,7.5,32.6,25.2,0.7,26.6,25.9,64.1,49.3,14.8
dish_1561393764,broccoli; scrambled eggs; bacon,olive oil; salt; garlic,281,429,148,20.1,23.5,3.4,5.5,24.3,18.8,19.1,33,13.9
dish_1565035802,onions; cherry tomatoes; cauliflower; bell peppers,olive oil,69,207,138,0.6,10,9.5,14.8,18.5,3.7,3.7,12.8,9.1
dish_1558717604,apple,,74,49,25,0.3,0.5,0.2,19.9,12.5,7.4,0.4,0.1,0.4
dish_1562168696,raspberries; vinaigrette; berries; granola; blackberries; mixed greens; honeydew melons,olive oil; salt; vinegar; garlic; pepper,95,173,78,2.5,8.4,5.9,18.1,16.3,1.9,1.7,10,8.3
dish_1565035830,cherry tomatoes; chicken breast; bell peppers; cauliflower; onions,olive oil,340,327,13,6.5,17.3,10.8,14.8,21.2,6.4,54.7,24.4,30.3
dish_1562788601,fish; vinegar; corn on the cob; brown rice; country rice; basil; green onions; salt; cherry tomatoes; pepper; pork; lemon juice; parsley; pilaf; olive oil; onions; garlic; broccoli; shallots,salt; olive oil; garlic; lemon juice; pepper,413,461,48,19.1,25,5.9,48.8,26.2,22.6,23.1,36.3,13.1
dish_1561405356,ginger; vinegar; olive oil; garlic; soy sauce; broccoli; green onions; salt; chicken; white rice; spinach (raw); green beans,salt; olive oil; garlic; lemon juice; pepper,207,235,28,4.2,12.5,8.3,7.5,15.4,7.9,33.4,17.1,16.4
dish_1557937079,bacon,,146,125,21,11.3,6.1,5.2,0.4,12.4,12,10,6.5,3.5
dish_1562168648,vinaigrette; raspberries; mixed greens; granola; blackberries,olive oil; salt,42,139,98,2.2,7.1,4.9,4.9,11.8,6.8,1,8.4,7.4
dish_1558376734,sausage,almonds,207,146,61,16.4,7,9.4,2.5,16.1,13.6,11.6,6.7,4.8
dish_1563221086,onions; cranberries; arugula; cherry tomatoes; chicken breast; white rice; vinegar; apple; garlic; salt; parsley; zucchini; rosemary; olive oil; thyme; wheat berry; pork; spinach (raw); parmesan cheese; mustard; broccoli,salt; olive oil; garlic; vinegar; onions,328,501,172,18.2,27.6,9.4,12.4,26.7,14.3,28.9,39.8,10.9
dish_1564427406,grilled chicken,,305,299,6,20.1,16.2,3.9,0.1,17.9,17.8,30.5,22.9,7.7
dish_1566414225,olive oil; quinoa,olive oil; salt; garlic,125,164,39,4.2,7.4,3.2,17.9,18.2,0.2,3.8,8.1,4.3
dish_1558635546,apple,,61,76,15,0.2,1.7,1.4,16.4,16,0.4,0.4,1,0.6
dish_1565020867,egg whites; berries; bacon; sweet potato; olive oil,olive oil,256,299,44,6.2,14.9,8.7,35.7,24.2,11.6,13.9,20.2,6.3
dish_1564773847,garlic; shallots; pepper; salmon; cherry tomatoes; olive oil; parsley; chive; lemon juice; pickles; mayonnaise; arugula; lentils; kale; salt,salt; olive oil; garlic; pepper; lemon juice,238,100,138,15.7,4.3,11.4,5.8,12.4,6.6,17.6,4.4,13.2
dish_1564675411,egg whites; turkey bacon,egg whites; sweet potato,236,362,127,7,19.1,12,2.7,23.6,20.9,35.2,27.1,8.1
dish_1566851549,cheese pizza,,226,167,59,8,7.5,0.5,28.5,18.9,9.5,9.5,8.3,1.2
dish_1566501594,brownies,olive oil; salt; onions; garlic; cherry tomatoes,508,434,74,31.4,23.7,7.7,54.3,23.3,31,6.8,34.9,28.1
dish_1558630325,apple; garden salad; almonds,almonds,752,657,95,58.1,35,23,46.6,42.3,4.3,27.1,49.2,22.1
dish_1560368570,honeydew melons; pepper; cherry tomatoes; lettuce; mixed greens; pork; mustard; olive oil; lemon juice; onions; carrot; broccoli; green onions; shallots; arugula; vinegar; brown rice; fish; pumpkin seeds; basil; parsley; country rice; salt; garlic,salt; olive oil; garlic; lemon juice; onions,556,508,48,39.2,27.8,11.4,27.1,27.6,0.5,46.5,40.7,5.8
dish_1559844366,almonds; broccoli; grapes,almonds,529,406,123,39.9,21.5,18.4,34.9,28.4,6.5,19.2,29,9.7
dish_1559849497,almonds; pears; grapes,almonds,521,311,211,30.6,15.6,14.9,58.4,26.8,31.6,15,19.5,4.5
dish_1561741063,cottage cheese,,132,120,13,5.8,5.1,0.7,4.6,15.4,10.8,14.9,4.9,9.9
dish_1560444931,watermelon; honeydew melons; pineapple; scrambled eggs,,113,64,49,4,2.1,1.9,16.5,10.8,5.7,4.3,1.8,2.5
dish_1561577947,olive oil; basil; arugula; blueberries; vinegar; mustard; walnuts; white wine; salt; rosemary; oregano; cream; mushroom; wheat berry; chard; pepper; chicken; shallots; garlic; butter; lemon juice; thyme,salt; olive oil; garlic; vinegar; onions,623,480,143,33.8,26.6,7.1,12.9,24.2,11.3,67.2,39,28.2
dish_1564588859,egg whites; greek yogurt; milk; chia seeds,olive oil,184,199,16,4.8,9.3,4.6,9.6,18.7,9.1,23.4,12.4,11.1
dish_1565898361,brown rice; ginger; vinegar; beef; salmon; spinach (cooked); millet; lime; onions; spinach (raw); jalapenos; bok choy; shallots; garlic; chili; cilantro; salt; lemon juice; olive oil,salt; olive oil; garlic; pepper; lemon juice,371,362,9,18.8,19.7,0.9,7.6,21.8,14.2,39,27.4,11.6
dish_1558718680,almonds,almonds,133,261,128,11.4,13.5,2.1,5.2,22.2,17,5.2,16.1,11
dish_1563996509,walnuts; cauliflower; oregano; arugula; mushroom; chard; wheat berry; garlic; shallots; thyme; cream; mustard; rosemary; white wine; chicken; pepper; vinegar; olive oil; blueberries; lemon juice; basil; salt; butter; roasted potatoes,olive oil; salt; garlic; vinegar; pepper,365,314,51,17.9,16.4,1.5,19.3,21.5,2.2,32.8,22.8,10
dish_1564689078,almonds; olive oil; mustard; parsley; carrot; salt; blueberries; spinach (raw); vinegar,olive oil; salt; vinegar,72,83,10,6.6,3.9,2.7,3,9.3,6.3,1.5,3.7,2.3
dish_1565894889,cheese pizza; cookies,,258,222,36,11.2,9.6,1.6,33.3,26.4,6.9,6.6,10.8,4.1
dish_1562700496,cauliflower,,31,27,4,0.4,0.5,0.1,6.2,5.8,0.4,2.2,0.4,1.8
dish_1561574479,beef; walnuts; salt; onions; bok choy; olive oil; mustard; arugula; vinegar; blueberries; chard; millet; cauliflower; cheese pizza; spinach (cooked); caesar salad; shallots; pepper,salt; olive oil; garlic; lemon juice; onions,364,310,54,18.5,15.5,3,25.3,24,1.3,24.6,21.6,2.9
dish_1556575327,celery; olives; brussels sprouts,,103,64,39,6.9,2,4.9,10.6,11.5,0.9,2.9,1.5,1.4
dish_1562876531,pepper; chicken; wheat berry; lemon juice; basil; parsley; garlic; squash; spinach (raw); zucchini; rosemary; olive oil; thyme; caesar salad; salt,olive oil; salt; garlic,66,131,65,2.4,5.8,3.4,3.1,15.4,12.3,8.4,5.8,2.5
dish_1558113477,almonds,almonds,289,264,25,24.8,13.8,10.9,11.4,20.9,9.5,11.2,17.1,5.9
dish_1565986733,white rice; mushroom; ground turkey; chard; celery; wheat berry; onions; olive oil; cream; chive; garlic; salt; shallots; carrot; cherry tomatoes; fish; eggs; thyme; kale; parsley; lemon juice,salt; olive oil; garlic; onions; pepper,388,347,41,35.7,18.7,17,9.9,22.3,12.4,43,25.3,17.7
dish_1560368395,honeydew melons,,49,22,27,0.1,0.1,0,12.3,6,6.3,0.7,0,0.7
dish_1562790855,radishes; fish; cherry tomatoes; shallots; onions; mustard; parsley; garlic; basil; salt; pepper; pork; lemon juice; brown rice; country rice; cucumbers; olive oil; vinegar; bell peppers; broccoli; green onions,salt; olive oil; garlic; lemon juice; pepper,739,493,246,67.9,27.6,40.3,23.8,24,0.2,78.4,40.6,37.9
dish_1564428181,garlic; olive oil; parsley; pecans; lemon juice; salt; shallots; pepper; arugula; vinegar; chard; quinoa; thyme; pork; mustard; wheat berry; jalapenos; mayonnaise; carrot; cabbage; blueberries,salt; olive oil; garlic; lemon juice; pepper,510,467,43,32.3,25.8,6.5,21,24.4,3.5,34.3,37.6,3.3
dish_1563998279,chicken; cilantro; parsley; brown rice; mushroom; steak; wheat berry; thyme; basil; white wine; shallots; garlic; vinegar; pepper; arugula; jalapenos; oregano; cream; tatsoi; butter; rosemary; olive oil; lemon juice; salt; roasted potatoes,olive oil; salt; garlic; lemon juice; pepper,565,480,85,31.7,26.2,5.4,21.4,27.3,5.8,48,37.5,10.5
dish_1562963325,sugar; garlic; pepper; white rice; bok choy; pork; salt; cheese pizza; soy sauce; caesar salad,salt; olive oil; garlic; lemon juice; onions,760,458,302,31.5,24,7.4,65.3,29.6,35.8,51.8,34.5,17.3
dish_1560444914,honeydew melons; pineapple; watermelon,,62,31,32,0.2,0.1,0.1,15.9,8.3,7.6,0.9,0,1
dish_1560526530,berries; mustard greens; parsley; tomatoes; cucumbers; vinegar; almonds; olive oil; mustard; sausage; salt; carrot; potatoes; garlic; pineapple; spinach (raw); blueberries,olive oil; salt; garlic; vinegar; pepper,245,244,1,13.3,11.5,1.8,26.8,23.2,3.6,6.9,14.4,7.5
dish_1564773976,cherry tomatoes; chicken breast; shallots; olive oil; mayonnaise; arugula; salmon; pepper; pickles; chive; olives; salt; garlic; broccoli; parsley; kale; lemon juice; lentils; pineapple,olive oil,516,337,179,22.1,17.6,4.5,26.4,22.7,3.7,52.7,25,27.7
dish_1559578551,bacon,,124,91,33,9.7,4.1,5.5,0.3,11.1,10.8,8.5,3.8,4.7
dish_1565986702,lemon juice; wheat berry; parsley; cherry tomatoes; fish; salt; garlic; shallots; chive; olive oil; chard,salt; olive oil; garlic; vinegar; pepper,211,285,74,24.4,15.1,9.2,7,19.5,12.6,27.8,20,7.8
dish_1565118729,shallots; salt; kale; onions; olive oil; chard; vinegar; beef; spinach (cooked); millet; bok choy,olive oil; salt; garlic; pepper; lemon juice,435,390,45,24.3,21.5,2.7,9,21.5,12.5,41.9,30.5,11.4
dish_1557936555,eggs,,149,85,64,10.1,3.9,6.2,1.2,9.3,8.1,12,4.1,7.9
dish_1558373074,deprecated,,74,81,7,0.3,2.4,2.2,0.4,14.6,14.2,19.9,1.7,18.1
dish_1559849053,grapes; almonds,,382,244,138,28.8,11.5,17.3,25.2,25.5,0.3,13.5,13.1,0.3
dish_1568401199,tuna salad; squash; olive oil; salt,olive oil; salt,460,380,79,22.5,20.5,1.9,24.8,22.4,2.4,38,29.5,8.5
dish_1559846688,vinegar; beets; arugula; onions; mustard; carrot; olive oil; salt; lettuce,,83,55,27,7.8,2.4,5.3,3.1,7,3.9,1.3,2.1,0.8
dish_1564675380,turkey bacon,,87,154,67,6.5,7.5,1.1,0.7,16.1,15.4,6.7,7.6,0.9
dish_1563996464,blueberries; vinegar; arugula; chard; pepper; olive oil; cauliflower; walnuts; salt; mustard,olive oil; salt; vinegar; garlic; arugula,100,179,78,7.9,9.2,1.3,6.7,13.8,7.1,3,11.8,8.8
dish_1562774159,raspberries; vinaigrette; cantaloupe; granola; blackberries; mixed greens; berries,olive oil; salt,91,57,34,3,2,1,15.5,8.9,6.6,2,1.7,0.2
dish_1560801883,arugula; chicken breast; cherry tomatoes; spinach (raw); squash; wheat berry; parmesan cheese; garlic; rosemary; zucchini; parsley; salt; cauliflower; white rice; thyme; pepperoni pizza; pork; olive oil; onions,salt; olive oil; garlic; onions; lemon juice,512,472,40,22.1,24.7,2.6,34.6,31.1,3.6,42.6,35.2,7.4
dish_1561574848,basil; feta cheese; pepper; shallots; cucumbers; olive oil; blueberries; wheat berry; vinegar; chard; chicken; cherry tomatoes; bell peppers; onions; mustard; white wine; lemon juice; cream; oregano; vinaigrette; olives; mushroom; arugula; walnuts; garlic; butter; salt; rosemary; lettuce; thyme,salt; olive oil; vinegar; garlic; mustard,182,213,30,10.2,10.7,0.4,4.8,17.1,12.3,18.1,13.6,4.5
dish_1563551220,cream cheese; berries; greek yogurt; milk; chia seeds; bagels; egg whites; olive oil; sweet potato,olive oil; berries; sweet potato,562,501,60,14.5,25.8,11.3,79.8,33.3,46.5,28.9,38.1,9.1
dish_1563998244,roasted potatoes; white wine; basil; cream; oregano; pepper; arugula; mushroom; shallots; garlic; salt; butter; lemon juice; rosemary; olive oil; thyme; wheat berry; chicken,olive oil; salt,259,226,34,10.3,11.5,1.2,16.4,17.7,1.3,24.3,15.1,9.2
dish_1562009006,wheat berry; olive oil; jalapenos; pork; salt; pizza; cabbage; garlic; caesar salad; carrot; parsley; lemon juice; mayonnaise; pepper,salt; olive oil; garlic; lemon juice; pepper,471,520,49,25.4,28.8,3.4,21.1,26.2,5.1,39,42.5,3.5
dish_1560800951,parsley; cauliflower; kale; lemon juice; olive oil; pepper; bulgur; chickpeas; salt,olive oil; salt; vinegar; garlic; mustard,103,227,124,4.3,11.6,7.3,14.1,17.5,3.4,4.3,14.8,10.5
dish_1557936599,broccoli,,22,46,24,0.3,1.9,1.7,4.4,6.1,1.7,1.5,1.8,0.3
dish_1560801859,squash; onions; pepperoni pizza; arugula; parsley; garlic; white rice; cauliflower; rosemary; salt; zucchini; pork; olive oil,olive oil; salt; garlic; pepper; onions,429,456,27,20.1,23.9,3.8,33.5,29.7,3.7,28.3,34.2,5.9
dish_1568401167,tuna salad,olive oil; salt,426,303,124,21,16.5,4.5,21,18.3,2.6,36.9,22.8,14.1
dish_1565020755,bacon,,43,122,78,3.4,5.9,2.5,0.1,12.8,12.7,3,6,3.1
dish_1560526408,blueberries; parsley; mustard; salt; carrot; almonds; spinach (raw); vinegar; olive oil,salt; olive oil; garlic; vinegar; pepper,67,122,55,6.1,6,0.1,2.7,11.6,8.8,1.3,6.5,5.2
dish_1564427455,grilled chicken; olives; cherry tomatoes,olives,354,394,40,24,20.8,3.1,4.2,24.6,20.4,31.2,30.2,1.1
dish_1558375667,almonds,almonds,688,514,174,58.9,28.1,30.8,27,31.5,4.5,26.7,38.6,11.9
dish_1557937715,raspberries,,21,75,54,0.3,2.8,2.5,4.7,11.7,7,0.5,2.1,1.7
dish_1562009894,goat cheese; olives; garlic; vinegar; brown rice; olive oil; mustard; salt; pears; mixed greens,olive oil; salt; garlic; vinegar; pepper,245,205,39,12,10.5,1.5,29.9,16.3,13.6,5.6,13.2,7.6
dish_1560526447,salt; carrot; cucumbers; almonds; mustard greens; olive oil; mustard; parsley; vinegar; spinach (raw); blueberries; garlic; tomatoes,salt; olive oil; vinegar; garlic; mustard,89,131,42,8.2,6.4,1.7,3.4,12.4,9,1.8,7,5.3
dish_1563551164,bagels; sweet potato; olive oil; egg whites; cream cheese,olive oil,340,298,41,8.3,14.8,6.5,46.8,22.9,23.9,17.8,21,3.3
dish_1568401233,salt; squash; carrot; tuna salad; olive oil,olive oil; salt; garlic; pepper,490,418,73,22.6,22.7,0.1,32.3,23.9,8.5,38.6,32.8,5.8
dish_1562703447,salt; spinach (cooked); vinegar; millet; berries; beef; shallots; mixed greens; onions; olive oil; pizza; lemon juice; parsley; bok choy; apple,olive oil; salt,384,133,251,18,6,12,37.7,15.3,22.3,18.5,6.1,12.4
dish_1558030383,bacon,,141,136,4,10.9,6.5,4.4,0.4,14.4,14.1,9.6,6.7,2.9
dish_1561663541,brown rice,olive oil,124,147,23,1,6.8,5.8,25.8,15.4,10.3,2.9,8,5.1
dish_1560975491,caesar salad,olive oil; salt; garlic,38,126,88,1.8,6.2,4.4,3.7,11.7,8,2.8,7.2,4.5
dish_1564427430,grilled chicken; olives,,346,326,19,23.9,17.7,6.1,2.3,18.8,16.5,30.8,25.3,5.5
dish_1565898331,spinach (raw); olive oil; lime; cilantro; garlic; shallots; chili; salt; lemon juice; ginger; salmon; brown rice; jalapenos; onions,salt; olive oil; garlic; vinegar; pepper,156,123,33,6.5,5.9,0.6,4.6,12.7,8.1,18.1,6.2,11.9
dish_1567785622,berries,,31,51,21,0.2,1.8,1.6,7.6,8.2,0.6,0.4,1.5,1.1
dish_1562099134,eggplant; chicken thighs; mushroom; vinegar; cherry tomatoes; lime; mixed greens; spinach (cooked); garlic; shallots; lemon juice; onions; olive oil; pepper; quinoa; wine; carrot; cheese pizza; salt; lettuce; cucumbers; squash,olive oil; salt; garlic; pepper; onions,272,300,28,14,15.1,1.1,18.6,23.7,5.1,17.7,20.1,2.4
dish_1558461760,cherry tomatoes,,11,12,1,0.1,0.4,0.2,2.4,2.4,0,0.5,0.2,0.3
dish_1558030182,potatoes,,68,68,1,0.1,1.8,1.7,15,13.2,1.7,1.8,1.3,0.5
dish_1564689168,lime; parsley; blueberries; vinegar; arugula; mustard; onions; almonds; mixed greens; carrot; salt; pears; garlic; pepper; spinach (raw); tofu; lemon juice; cucumbers; olive oil; chickpeas; cherry tomatoes; lettuce,salt; olive oil; vinegar; garlic; onions,353,573,220,27.5,30.5,3,17.7,35.2,17.5,15.1,43.8,28.7
dish_1562963246,cheese pizza,salt; olive oil; garlic; cheese pizza,324,207,117,11.5,10.3,1.2,40.9,18.4,22.4,13.7,12.5,1.1
dish_1565896745,pepper; arugula; salt; garlic; walnuts; cauliflower; vinegar; steak; chard; blueberries; wheat berry; olive oil; kale; mustard; lime,salt; olive oil; vinegar; garlic; mustard,369,383,14,25.2,21.1,4.1,10.7,21.2,10.5,27.2,29.9,2.7
dish_1560526472,salt; carrot; tomatoes; olive oil; almonds; mustard; parsley; mustard greens; vinegar; blueberries; spinach (raw); cucumbers; berries; garlic,salt; olive oil; vinegar; garlic; mustard,114,138,25,8.3,6.7,1.6,9.6,13.3,3.7,2.1,7.4,5.4
dish_1561578839,vinegar; mustard; cheese pizza; salt; walnuts; broccoli; pepper; olive oil; chard; arugula; blueberries,salt; olive oil; garlic; vinegar; onions,362,428,66,14.8,22,7.2,43.4,29.7,13.7,14.9,31.4,16.5
dish_1557862783,cauliflower; steak; chicken,olive oil; salt,443,371,72,24.9,20.4,4.5,3.8,19.9,16.1,50.4,29.5,21
dish_1565711527,salt; pepper; brussels sprouts; scrambled eggs; olive oil; hash browns,olive oil; salt; garlic; pepper,485,396,89,32,21.4,10.6,33.9,22.7,11.2,18.5,31.2,12.8
dish_1565123881,caesar salad; olive oil; onions; cheese pizza; zucchini; spinach (cooked); millet; shallots; bok choy; salt; beef; chayote squash; vinegar,olive oil; salt; garlic; pepper; lemon juice,407,546,140,19.4,29.3,10,31,32.7,1.7,30.1,42.4,12.3
dish_1558375833,sausage,almonds; sausage; grapes,317,320,3,25.1,17.1,8,3.9,22.8,18.9,17.8,22.2,4.4
dish_1565898432,shallots; blueberries; arugula; green beans; ginger; spinach (raw); brown rice; jalapenos; chard; olive oil; mustard; walnuts; chili; lime; garlic; cilantro; salmon; bok choy; beef; vinegar; pepper; lemon juice; onions; salt; spinach (cooked); millet,salt; olive oil; garlic; vinegar; lemon juice,450,476,25,25.8,26.4,0.6,11.6,24.7,13.1,40.7,38.2,2.5
dish_1562788536,pilaf; corn on the cob,olive oil; salt; garlic; vinegar; pepper,245,239,6,6.6,11.6,5,44.8,21.5,23.2,5.4,14.6,9.2
dish_1563565508,ground turkey; vinegar; celery; onions; parmesan cheese; thyme; carrot; salt; white rice; arugula; parsley; caesar dressing; olive oil; chive; eggs; bok choy; cream; mushroom; chard; kale; garlic; fish; cherry tomatoes; wheat berry; blueberries; lemon juice; corn on the cob; mustard; pecans; shallots; croutons,olive oil; salt; garlic; pepper; onions,404,301,103,24.8,14.9,9.8,32,24.1,7.9,26.3,20.4,5.8
dish_1565811025,spinach (raw); chicken; broccoli,broccoli; olive oil,361,252,109,7.7,13.6,5.9,4.4,13.9,9.5,65.4,19.9,45.5
dish_1566851584,caesar salad; cheese pizza,salt; olive oil; garlic; cheese pizza; pepper,286,299,12,10.9,14.8,3.9,34.4,23.6,10.7,13.9,20.6,6.7
dish_1565020926,olive oil; sweet potato; grapes; berries; greek yogurt; egg whites; chia seeds; milk; bacon,berries; olive oil; sweet potato,398,348,51,10.4,17.3,6.9,56.5,27.6,28.9,21.5,23.9,2.4
dish_1566416701,garlic; mushroom; wheat berry; olive oil; butter; salt; shallots; white wine; pepper; arugula; cream; oregano; thyme; basil; rosemary; lemon juice; chicken,olive oil; salt; garlic; pepper; lemon juice,199,201,3,6.6,10.2,3.6,2.9,15.2,12.3,30.3,13.8,16.5
dish_1565034681,walnuts; pepper; chard; blueberries; cucumbers; lime; salt; lettuce; mustard; cheese pizza; cherry tomatoes; vinegar; arugula; olive oil; pizza; onions; mixed greens,olive oil; salt; garlic; pepper; onions,324,328,5,18.9,16.5,2.5,29.2,26.3,2.9,10.4,22.2,11.7
dish_1565638515,white rice; garlic; onions; zucchini; parsley; olive oil; rosemary; pork; green beans; arugula; salt,olive oil; salt; garlic; vinegar; pepper,199,213,14,10.8,11.2,0.4,9,15.7,6.8,16.7,14.4,2.3
dish_1560456305,mixed greens; lettuce; pumpkin seeds; mustard; salt; olive oil; vinegar; arugula; carrot,salt; olive oil; vinegar,26,38,11,2.2,1.6,0.6,1.3,5,3.6,0.5,1.5,0.9
dish_1562876494,pepper; chicken; squash; wheat berry; spinach (raw); zucchini; lemon juice; rosemary; basil; olive oil; garlic; thyme; salt; parsley,,40,103,63,1.2,4.3,3.2,0.5,13.4,12.8,6.5,4.1,2.4
dish_1558376984,almonds; deprecated; sausage; mixed greens; grapes,almonds,672,588,84,45.6,31,14.6,30.2,40.3,10.1,45.4,42.6,2.8
dish_1561739265,sweet potato; hash browns; broccoli; egg whites; berries,olive oil,292,342,50,10,17.7,7.7,41.1,23,18.1,10.7,25.4,14.7
dish_1559850314,almonds; orange,almonds,297,260,37,23.3,12.8,10.5,17,23.9,6.9,11,15.6,4.6
dish_1566920339,egg whites; sweet potato; olive oil,egg whites; sweet potato,450,415,34,5,21.6,16.5,32.1,26.8,5.3,58.6,31.9,26.6
dish_1560801829,squash; olive oil; pepperoni pizza; salt; cauliflower,olive oil; salt,257,310,53,10.5,14.8,4.3,30.3,27.7,2.7,11.2,19.8,8.6
dish_1565117429,cheese pizza,cheese pizza; olive oil,391,303,88,13.8,13.8,0,49.2,30.9,18.4,16.5,17.5,1
dish_1564689138,garlic; onions; lemon juice; mustard; olive oil; almonds; mixed greens; lime; cherry tomatoes; pepper; cucumbers; spinach (raw); blueberries; vinegar; arugula; parsley; lettuce; salt; carrot; chickpeas; pears,salt; olive oil; vinegar; garlic; mustard,268,304,36,22,15.8,6.1,15.5,22.5,6.9,5.8,20.9,15.1
dish_1563897938,bacon,,54,96,42,4.2,4.6,0.4,0.1,10.3,10.2,3.7,4.4,0.7
dish_1558376437,cantaloupe,,13,22,9,0.1,0.7,0.6,3.1,4.3,1.2,0.3,0.3,0
dish_1560367904,olive oil; garlic; salt; green onions; onions; fish; country rice,olive oil; salt; garlic,76,175,99,8.8,8.6,0.2,3.7,16.5,12.8,10.4,9.7,0.7
dish_1561661324,caesar salad,olive oil; salt; garlic,33,125,92,1.6,6,4.4,3.2,12.5,9.3,2.4,6.6,4.2
dish_1564588919,milk; greek yogurt; egg whites; blueberries; sweet potato; olive oil; chia seeds,olive oil,336,380,44,7.6,19.1,11.5,41,28.4,12.6,25.1,27.3,2.2
dish_1558641253,corn on the cob,,117,86,30,2.6,2.2,0.4,24.2,17.1,7.1,3.4,1.5,1.9
dish_1558031133,yam,,137,112,25,0.2,3.8,3.6,32.3,17.8,14.5,1.8,3.6,1.8
dish_1562700593,chive; apple; millet; cauliflower; pepper; vinegar; shallots; onions; snow peas; olive oil; lemon juice; mixed greens; artichokes; spinach (cooked); fish; corn; lentils; arugula; parsley; bok choy; garlic; salt; beef,salt; olive oil; garlic; lemon juice; pepper,386,497,111,29.8,27.6,2.2,18.6,25.1,6.5,37,40.6,3.5
dish_1558376212,almonds,almonds,301,288,13,25.7,15.2,10.6,11.8,22.1,10.3,11.6,19,7.3
dish_1565898230,garlic; bell peppers; beef; cherry tomatoes; brown rice; ginger; olive oil; vinegar; spinach (cooked); lime; shallots; bok choy; salmon; millet; vinaigrette; jalapenos; spinach (raw); green beans; feta cheese; cucumbers; lettuce; cilantro; lemon juice; onions; salt; chili; olives,salt; olive oil; garlic; lemon juice; onions,780,539,241,42.7,29.9,12.8,19.7,27.8,8,73.9,43.6,30.4
dish_1561574394,walnuts; caesar salad; mustard; olive oil; vinegar; blueberries; chard; arugula; pepper; salt,salt; olive oil; vinegar; garlic; arugula,62,97,35,4.8,4.6,0.2,3.4,10.3,6.9,2.4,4.6,2.3
dish_1564160043,bagels,,245,231,14,1.5,11.2,9.7,48,20.6,27.4,9.9,14.6,4.7
dish_1566501575,brownies,olive oil; salt; cherry tomatoes; onions,252,369,117,15.6,20.3,4.7,26.9,19.4,7.5,3.3,29.8,26.5
dish_1558722125,almonds,almonds,497,543,45,42.6,29.5,13,19.5,34.3,14.8,19.3,40.3,21
dish_1558719570,apple,,74,64,10,0.3,1.1,0.9,20,14.6,5.4,0.4,0.6,0.1
dish_1558546434,spinach (raw),,3,9,7,0,0.3,0.3,0.4,1.6,1.2,0.3,0.3,0.1
dish_1558641200,carrot,,3,21,18,0,-0.2,0.2,0.8,7,6.2,0.1,-0.5,0.6
dish_1561578775,cheese pizza,salt; olive oil; garlic; cheese pizza; pepper,295,274,21,10.4,13.4,3,37.2,23.2,14,12.4,17.8,5.4
dish_1563898019,bacon; chia seeds; greek yogurt; scrambled eggs; milk,,344,258,86,22.6,13.5,9.1,10.5,18.5,8,24.2,18,6.2
dish_1561667207,garlic; salt; sugar; bok choy; pork; pepper; white rice; soy sauce,olive oil,249,302,52,11.4,15.7,4.3,13.4,21.3,7.9,22.1,21.4,0.7
dish_1567785778,pineapple; bell peppers; berries; cucumbers; salt; mustard; olive oil; garlic; greek yogurt; vinegar; radishes; milk; chia seeds; sweet potato,olive oil; salt,304,461,157,15.2,24.6,9.4,32.6,28.9,3.7,11.7,34.8,23.1
dish_1568305198,turkey bacon,olive oil,311,247,65,23,13.1,10,2.5,17.6,15,23.9,17,6.8
dish_1558639440,apple,,60,50,10,0.2,0.4,0.1,16.2,13.4,2.8,0.3,-0.2,0.5
dish_1558630176,apple,,74,74,1,0.3,1.3,1,19.9,16.8,3.1,0.4,0.7,0.2
dish_1558375732,grapes,,46,40,6,0.1,1.4,1.2,11.9,7,4.9,0.5,0.9,0.4
dish_1567007848,watermelon; raspberries; berries; cantaloupe; pineapple,berries,100,176,76,0.6,6.4,5.9,24.8,25.9,1.1,1.7,6.8,5.1
dish_1566589933,tofu,olive oil; salt; garlic; pepper; onions,89,207,118,5.9,10.2,4.4,2.3,18.2,15.8,9.8,12.4,2.6
dish_1563565289,corn on the cob,olive oil; salt,93,67,27,2.1,2.3,0.2,19.4,11,8.4,2.7,1.8,0.9
dish_1561577848,salt; white wine; cream; oregano; arugula; lemon juice; olive oil; pepper; chicken; mushroom; wheat berry; butter; rosemary; thyme; shallots; garlic; basil,olive oil; salt; garlic; lemon juice; pepper,413,329,85,13.8,17.6,3.7,6,20.4,14.3,63.1,24.8,38.4
